service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,1,20231210,20241214
2,1,1,1,1,1,1,1,20231210,20241214
3,1,1,1,1,1,1,1,20231210,20241214
4,1,1,1,1,1,1,1,20231210,20241214
5,1,1,1,1,1,1,1,20231210,20241214
6,1,1,1,1,1,1,1,20231210,20241214
7,1,1,1,1,1,1,1,20231210,20241214
8,1,1,1,1,1,1,1,20231210,20241214
9,1,1,1,1,1,1,1,20231210,20241214
10,1,1,1,1,1,1,1,20231210,20241214
11,1,1,1,1,1,1,1,20231210,20241214
12,1,1,1,1,1,1,1,20231210,20241214
13,1,1,1,1,1,1,1,20231210,20241214
14,1,1,1,1,1,1,1,20231210,20241214
15,1,1,1,1,1,1,1,20231210,20241214
16,1,1,1,1,1,0,0,20231210,20241214
17,1,1,1,1,1,0,1,20231210,20241214
18,1,1,1,1,1,1,1,20231210,20241214
19,1,1,1,1,1,1,1,20231210,20241214
20,1,1,1,1,1,1,1,20231210,20241214
21,0,0,0,0,0,0,0,20231210,20241214
22,1,1,1,1,1,0,0,20231210,20241214
23,1,1,1,1,1,1,1,20231210,20241214
24,0,0,0,0,0,1,0,20231210,20241214
25,1,1,1,1,1,1,1,20231210,20241214
26,1,1,1,1,1,1,1,20231210,20241214
27,1,1,1,1,1,1,1,20231210,20241214
28,1,1,1,1,1,1,1,20231210,20241214
29,1,1,1,1,1,0,0,20231210,20241214
30,0,0,0,0,0,1,1,20231210,20241214
31,1,1,1,1,1,1,1,20231210,20241214
32,1,1,1,1,1,1,1,20231210,20241214
33,1,1,1,1,1,1,1,20231210,20241214
34,1,1,1,1,1,1,1,20231210,20241214
35,1,1,1,1,1,1,1,20231210,20241214
