route_id,agency_id,route_short_name,route_long_name,route_type
1,200000,IR: Mangalia - Bucureşti Nord Gr.A,IR: Mangalia - Neptun Hm. - Neptun hc. - Costineşti Tabără hc. - Costineşti - Eforie Sud - Eforie Nord - Constanţa - Bucureşti Nord Gr.A,2
2,200000,IR-N: Arad - Constanţa,IR-N: Arad - Timişoara Nord - Lugoj - Caransebeş - Băile Herculane - Orşova - Drobeta Tr. Severin - Balota - Filiaşi - Craiova - Caracal - Roşiori Nord - Videle - Bucureşti Nord Gr.A - Constanţa,2
3,200000,IR: Bucureşti Nord Gr.A - Titu,IR: Bucureşti Nord Gr.A - Titu,2
4,200000,IR: Bucureşti Nord Gr.A - Braşov,IR: Bucureşti Nord Gr.A - Ploieşti Vest - Câmpina - Sinaia - Buşteni - Azuga - Predeal - Braşov,2
5,200000,IR: Bucureşti Nord Gr.A - Mangalia,IR: Bucureşti Nord Gr.A - Constanţa - Eforie Nord - Eforie Sud - Costineşti - Costineşti Tabără hc. - Neptun hc. - Mangalia,2
6,200000,IR: Braşov - Bucureşti Nord Gr.A,IR: Braşov - Predeal - Azuga - Buşteni - Sinaia - Câmpina - Ploieşti Vest - Bucureşti Nord Gr.A,2
7,200000,IR-N: Constanţa - Arad,IR-N: Constanţa - Bucureşti Nord Gr.A - Videle - Roşiori Nord - Caracal - Craiova - Filiaşi - Balota - Drobeta Tr.Sev Est Hm. - Drobeta Tr. Severin - Orşova - Băile Herculane - Caransebeş - Lugoj - Timişoara Nord - Arad,2
8,200000,IR-N: Bucureşti Nord Gr.A - Arad,IR-N: Bucureşti Nord Gr.A - Videle - Roşiori Nord - Caracal - Craiova - Filiaşi - Balota - Drobeta Tr.Sev Est Hm. - Drobeta Tr. Severin - Orşova - Băile Herculane - Caransebeş - Lugoj - Timişoara Nord - Arad,2
9,200000,IR: Titu - Bucureşti Nord Gr.A,IR: Titu - Bucureşti Nord Gr.A,2
10,200000,IR-N: Arad - Bucureşti Nord Gr.A,IR-N: Arad - Timişoara Nord - Lugoj - Caransebeş - Băile Herculane - Orşova - Drobeta Tr. Severin - Balota - Filiaşi - Craiova - Caracal - Roşiori Nord - Videle - Bucureşti Nord Gr.A,2
11,200000,IR: Mangalia - Bucureşti Nord Gr.A,IR: Mangalia - Neptun hc. - Costineşti Tabără hc. - Costineşti - Eforie Sud - Eforie Nord - Constanţa - Bucureşti Nord Gr.A,2
12,236037,R: Huedin - Cluj Napoca,R: Huedin - Jebuc h. - Stana Hm. - Aghireş h. - Aghireş - Dorolţu h. - Macău h. - Gârbău h. - Nădăşel h. - Mera Hm. - Rădaia h. - Suceag h. - Baciu h. - Baciu Triaj Hm. - Cluj Napoca,2
13,236037,R: Bistriţa Bârgăului hcv. - Bistriţa Nord,R: Bistriţa Bârgăului hcv. - Bistriţa Bârgăului h. - Bistriţa Bârgăului Sat h. - Bârgău h. - Prundul Bârgaului h. - Susenii Bârgăului Hm. - Mijlocenii Bârgăului h. - Josenii Bârgăului h. - Rusul Bârgăului h. - Livezile Bârgăului h. - Bistriţa h. - Bistriţa Nord,2
14,236037,R-E: Timişoara Nord - Oradea,R-E: Timişoara Nord - Ronaţ Triaj Gr. D - Sânandrei Hm. - Baile Calacea - Orţişoara - Vinga Hm. - Şag Hm. - Aradu Nou - Arad - Zimandu Nou h. - Sântana - Şimand Hm. - Nadab - Chişineu Criş - Ciumeghiu Hm. - Salonta - Leş Bihor Hm. - Oradea,2
15,236037,R-E: Cluj Napoca - Bistriţa Nord,R-E: Cluj Napoca - Clujana h. - Apahida - Jucu Hm. - Jucu de Jos h. - Răscruci h. - Bonţida Hm. - Iclod Hm. - Gherla - Dej Calatori - Reteag Hm. - Reteag h. - Ciceu Cristur h. - Beclean pe Someş - Şintereag Hm. - Măgheruş Şieu Hm. - Bistriţa Nord,2
16,236037,R: Mediaş - Sibiu,R: Mediaş - Târnava h. - Copşa Mică - Axente Sever h. - Agârbiciu h. - Şeica Mare - Şeica Mare h. - Haşag h. - Loamneş Hm. - Mândra h. - Băile Ocna Sibiului h. - Ocna Sibiului Hm. - Sibiu h.(203) - Sibiu,2
17,236037,R: Cluj Napoca - Câmpia Turzii,R: Cluj Napoca - Clujana h. - Cluj Napoca Est - Dezmir h. - Apahida - Cojocna Hm. - Tunel Hm. - Boju Hm. - Valea Florilor Hm. - Ploscoş h. - Câmpia Turzii,2
18,236037,R: Cluj Napoca - Huedin,R: Cluj Napoca - Baciu Triaj Hm. - Baciu h. - Suceag h. - Rădaia h. - Mera Hm. - Nădăşel h. - Gârbău h. - Macău h. - Dorolţu h. - Aghireş - Aghireş h. - Stana Hm. - Jebuc h. - Huedin,2
19,236037,R: Letca Hm. - Jibou,R: Letca Hm. - Cuciulat Hm. - Băbuţeni Hm. - Ciocmani h. - Surduc Sălaj Hm. - Var h. - Jibou,2
20,236037,R: Oradea - Aleşd,R: Oradea - Oradea Est - Oşorhei Hm. - Săcădat h. - Săbolciu h. - Tileagd - Telechiu Hm. - Ţeţchea h. - Aleşd,2
21,236037,R-E: Cluj Napoca - Sibiu,R-E: Cluj Napoca - Clujana h. - Apahida - Cojocna Hm. - Boju Hm. - Valea Florilor Hm. - Ploscoş h. - Câmpia Turzii - Războieni - Unirea hc. - Aiud Hm. - Teiuş - Crăciunel Hm. - Blaj - Valea Lungă Hm. - Copşa Mică - Axente Sever h. - Şeica Mare - Şeica Mare h. - Loamneş Hm. - Băile Ocna Sibiului h. - Ocna Sibiului Hm. - Sibiu,2
22,236037,R: Oradea - Valea lui Mihai,R: Oradea - Episcopia Bihor - Biharia Hm. - Tămăşeu h. - Roşiori Bihor h. - Diosig Hm. - Cadia h. - Săcuieni Bihor - Şilindru Hm. - Simion h. - Valea lui Mihai,2
23,236037,R: Deda - Târgu Mureş,R: Deda - Ruşii Munţi h. - Aluniş Mureş Hm. - Halta Aluniş h. - Brâncoveneşti h. - Ideciu de Jos h. - Reghin - Petelea h. - Periş Mureş h. - Gorneşti Mureş h. - Dumbrăvioara Hm. - Târgu Mureş Nord Hm. - Târgu Mureş,2
