stop_id,stop_name,stop_lat,stop_lon
10017,Bucureşti Nord Gr.A,44.446652,26.073465
10287,Videle,44.284168,25.537262
10445,Roşiori Nord,44.123808,24.979367
10574,Caracal,44.119414,24.364977
10770,Craiova,44.327085,23.822089
10902,Filiaşi,44.552384,23.51084
11085,Balota,44.617524,22.803798
11126,Drobeta Tr.Sev Est Hm.,44.622787,22.679105
11140,Drobeta Tr. Severin,44.622078,22.643628
11231,Orşova,44.730936,22.416848
11308,Băile Herculane,44.862628,22.3878
11554,Caransebeş,45.424444,22.221366
11580,Tibiscu h.,45.456312,22.183682
11592,Zăgujeni Hm.,45.480654,22.167721
11619,Căvăran,45.548241,22.139136
11621,Sacu h.,45.573559,22.111106
11645,Jena Hm.,45.5905,22.081382
11657,Găvojdia,45.622233,22.024664
11671,Tapia Hm.,45.650299,21.967205
11695,Lugoj,45.679667,21.897402
11724,Jabăr Hm.,45.726631,21.826653
11748,Belinţ Hm.,45.744394,21.762648
11750,Chizătău Hm.,45.750196,21.711526
11774,Topolovăţ,45.768445,21.629222
11786,Şuştra h.,45.776405,21.582112
11803,Recaş,45.793682,21.489655
11815,Izvin h.,45.794254,21.462718
11839,Remetea Mare,45.786347,21.363696
11841,Ghiroda h.,45.778553,21.307261
11877,Timişoara Est,45.769244,21.249965
11906,Timişoara Nord,45.75023,21.203318
11956,Săcălaz h.,45.767727,21.105164
11970,Beregsău hcv.,45.77423,21.009985
11994,Cărpiniş,45.783666,20.907872
12003,Checea Sat P.O.,45.788784,20.849397
12015,Clarii Vii h.,45.793099,20.799139
12039,Jimbolia,45.800275,20.718025
12431,Titu,44.661992,25.570119
15835,Gataia Hm.,45.422623,21.428327
15914,Timişoara Sud,45.715357,21.203387
15938,Timişoara C.E.T.,45.698556,21.200184
15940,Timişeni Hm.,45.652392,21.1804
15964,Pădureni Timiş P.M.,45.593179,21.193093
15988,Jebel Hm.,45.556599,21.197882
16009,Voiteni,45.475474,21.223247
16023,Birda hcv.,45.442431,21.328859
16047,Măureni h.,45.422482,21.511256
16061,Gherteniş h.,45.421008,21.587818
16073,Berzovia Hm.,45.4179,21.633303
16114,Bocşa Română hc.,45.376757,21.70992
16126,Vasiova,45.380528,21.759974
16140,Bocşa Montană h.,45.381603,21.780673
16152,Colţan h.,45.367699,21.801928
16164,Moniom h.,45.352827,21.830238
16176,Câlnic h.,45.334385,21.858297
16205,Reşiţa Nord,45.322583,21.872035
17053,Timişoara Vest Hm.,45.724434,21.16897
17091,Utvin h.,45.705145,21.127147
17106,Sânmihai h.,45.690158,21.105944
17120,Parţa h.,45.645141,21.130221
17144,Peciu Nou h.,45.597962,21.05233
17168,Cebza h.,45.565738,21.001738
17170,Giulvăz h.,45.54878,20.995307
17194,Rudna h.,45.503435,21.003688
17211,Cruceni hcv.,45.470993,20.872111
20012,Bartolomeu,45.662858,25.574548
20658,Sibiu,45.799765,24.162294
20713,Sibiu h.(203),45.811154,24.148314
21834,Arad,46.191443,21.324782
22010,Cristian Hm.,45.617664,25.479625
22034,Râşnov Hm.,45.594751,25.457777
22046,Râşnov h.,45.588944,25.437721
